Brand,Family,"EDP / EDT / Set, etc.","Size, oz.",Retailer,Rating (5/5),# of reviews,"Review (after 06/19/2017, fragrances and gift sets only + DK deo)",Y/N (Reccom),Date,ExpectedTitle,Link
Aramis,900 Herbal,EDC Spray ,3.4,Bloomingdales,-,0,-,N/A,7/9/2017,900 Herbal,https://www.bloomingdales.com/shop/product/aramis-900-herbal-eau-de-cologne-spray?ID=448034
Aramis,Black,EDT,3.7,Bloomingdales,-,0,-,N/A,7/9/2017,Black,https://www.bloomingdales.com/shop/product/aramis-black-eau-de-toilette?ID=1475369&CategoryID=2921#fn=spp%3D9
Aramis,Connoisseur,Set,,Bloomingdales,-,0,-,N/A,7/9/2017,Connoisseur,https://www.bloomingdales.com/shop/product/aramis-connoisseur-set?ID=105215&CategoryID=2921#fn=spp%3D16
Aramis,Devin Country,EDC Spray,3.4,Bloomingdales,-,0,-,N/A,7/9/2017,Devin Country,https://www.bloomingdales.com/shop/product/aramis-devin-country-eau-de-cologne-spray?ID=448037
Aramis,Signature,EDT,2,Macy's,5,2,Great smell This is very nice cologne for men. Has a great scent,Y,7/6/2017,Signature,https://www.macys.com/shop/product/aramis-eau-de-toilette-2.0-oz.?ID=510425
Aramis,Signature,EDT Natural Spray,1.7,Bloomingdales,-,0,-,N/A,7/9/2017,Signature,https://www.bloomingdales.com/shop/product/aramis-1.7-oz.-cologne-spray?ID=577382
Aramis,Signature,Cologne Spray,1.7,Bloomingdales,-,0,-,N/A,7/9/2017,Signature,https://www.bloomingdales.com/shop/product/aramis-cologne-eau-de-toilette-natural-spray-1.7-oz.?ID=450210
Aramis,Signature,EDT,3.7,Macy's,5,8,prior to 06/19/2017,-,7/9/2017,Signature,https://www.macys.com/shop/product/aramis-eau-de-toilette-spray-3.7-oz.?ID=510432
Aramis,Emissary,Gift Set,2-Pc.,Macy's,5,12,Best Gift ever. I gave this to a male friend of mine for Father's Day and he was super surprised. He loved it and it came with a bonus of toiletry carrier. Good deal.,Y,6/19/2017,Emissary,https://www.macys.com/shop/product/aramis-emissary-2-pc.-gift-set?ID=363438
Aramis,Signature,Cologne Spray,3.4,Bloomingdales,-,0,-,N/A,7/9/2017,Signature,https://www.bloomingdales.com/shop/product/aramis-3.4-oz.-cologne-spray?ID=577383
Aramis,Signature,Cologne Spray,3.4,Bloomingdales,5,1,prior to 06/19/2017,N/A,7/9/2017,Signature,https://www.bloomingdales.com/shop/product/aramis-cologne-eau-de-toilette-natural-spray-3.4-oz.?ID=71423
Aramis,Signature,Cologne,8,Bloomingdales,5,1,prior to 06/19/2017,N/A,7/9/2017,Signature,https://www.bloomingdales.com/shop/product/aramis-cologne-eau-de-toilette-natural-spray-8-oz.?ID=71422
Aramis,Havana,EDT Spray,3.4,Bloomingdales,-,0,-,N/A,7/9/2017,Havana,https://www.bloomingdales.com/shop/product/aramis-havana-eau-de-toilette-spray?ID=448038&CategoryID=2921#fn=spp%3D5
Aramis,Tuscany,EDT,,Bloomingdales,-,0,-,N/A,7/9/2017,Tuscany,https://www.bloomingdales.com/shop/product/aramis-tuscany-per-uomo-eau-de-toilette-3.4-oz?ID=448033
Aramis,For Him,EDT,8.1,Macy's,4.5,17,prior to 06/19/2017,-,7/9/2017,For Him,https://www.macys.com/shop/product/aramis-eau-de-toilette-for-him-8.1-oz.?ID=225
Aramis,Connoisseur,Gift Set,2-Pc.,Macy's,4.5,4,prior to 06/19/2017,-,7/9/2017,Connoisseur,https://www.macys.com/shop/product/aramis-connoisseur-2-pc.-gift-set?ID=510426
Aramis,Voyager,EDT,3.7,Macy's,-,0,-,N/A,7/9/2017,Voyager,https://www.macys.com/shop/product/aramis-voyager-eau-de-toilette-3.7-oz?ID=2867458
Aramis,Signature,EDT Spray,2,Ulta,4.9,18,prior to 06/19/2017,Y,7/9/2017,Signature,http://www.ulta.com/aramis-eau-de-toilette-spray?productId=xlsImpprod640818
Aramis,Black,EDT,2,Ulta,4.5,2,prior to 06/19/2017,Y,7/9/2017,Black,http://www.ulta.com/black-eau-de-toilette?productId=xlsImpprod12991001
Aramis,Tuscany Per Uomo,EDT,3.4,Macy's,5,2,prior to 06/19/2017,-,7/9/2017,Tuscany Per Uomo,https://www.macys.com/shop/product/aramis-tuscany-per-uomo-eau-de-toilette-spray-3.4-oz.?ID=430472
Aramis,JHL Custom Blended ,Cologne Spray,3.4,Bloomingdales,5,2,prior to 06/19/2017,N/A,7/9/2017,JHL Custom Blended ,https://www.bloomingdales.com/shop/product/aramis-jhl-custom-blended-cologne-spray?ID=448035
